"","AUS","AUT","BEL","BGR","CAN","CHE","CHN","COD","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ISR","ITA","JOR","JPN","LBN","MEX","MYS","NLD","NOR","NZL","PAK","POL","PRY","SAU","SEN","SGP","SUN","SWE","SYR","THA","USA","VEN","YUG","ARG","BRA","CAF","CIV","COG","COL","GRC","MAR","MDG","NGA","PAN","PHL","PRT","BFA","GHA","LBY","AGO","ALB","BDI","BEN","BOL","CHL","CMR","CRI","CUB","CYP","DOM","DZA","ECU","GAB","GLP","GNQ","GTM","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LAO","LBR","LKA","MLT","MMR","MRT","NCL","NIC","OMN","PER","ROU","RWA","SDN","SLV","SOM","TCD","TGO","TTO","TUN","TUR","TZA","UGA","URY","VNM","ZAF","ZMB","ZWE","AFG","BHR","BHS","BMU","BRB","DDR","DJI","ETH","FJI","GIN","GMB","GNB","GUF","GUY","KHM","MNG","MOZ","MUS","MWI","NER","NPL","PNG","PRK","QAT","SLE","SUR","WSM","YMD","MLI","SPM","GIB","BLZ","SYC","KNA","MAC","GRL"
"MRT",0,0,6897000,0,0,0,0,266000,0,15207000,0,6000,443000,6000,13957000,18476000,0,0,0,0,0,0,0,11662000,0,0,0,0,0,3211000,0,0,0,0,0,0,0,0,13000,1000,0,0,2338000,0,0,8000,0,0,8000,1188000,0,3000,8000,0,208000,0,0,0,0,27000,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,59000,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0
"NCL",1654000,1000,40000,0,4710000,7000,0,0,0,3617000,84000,0,115000,10000,32484000,19000,0,0,0,0,0,0,0,563000,0,26907000,0,0,0,0,0,2311000,0,0,0,0,0,0,0,55000,0,0,366000,1000,0,0,0,0,0,0,0,0,0,1000,0,0,0,2000,0,0,0,0,0,0,0,0,1000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",0,1e+06,1788000,0,229000,1105000,0,203000,0,29809000,226000,0,56000,288000,2061000,3817000,1899000,0,0,88000,0,0,5000,2692000,0,54499000,0,6000,0,2474000,2000,3000,0,72000,6000,0,1000,12000,0,360000,38000,1857000,35975000,10000,0,1000,1000,0,0,0,1000,144000,0,0,1000,177000,414000,6133000,0,0,0,0,0,0,0,0,1000,1000,3160000,0,0,0,0,31000,0,684000,0,1441000,2089000,0,1000,0,239000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,3145000,0,0,0,30000,0,2000,0,0,0,0,1000,0,0,0,0,10000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",2000,0,7254000,0,1611000,0,0,0,0,46157000,3000,7000,0,0,33368000,62056000,20000,0,378000,0,9293000,0,0,1955000,1000,7000,0,0,0,5096000,0,1000,320000,0,0,0,0,66000,0,0,0,7614000,0,0,0,0,0,0,0,0,0,0,0,3000,825000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",2796000,5643000,23823000,1014000,8374000,11542000,0,0,1719000,132290000,5232000,39000,16536000,2851000,29559000,47048000,130000,1406000,4768000,1834000,54000,5000,890000,25746000,3000,111073000,392000,4816000,1000,30278000,1320000,1686000,0,3857000,8000,2000,0,0,0,9134000,62000,0,241057000,8166000,3980000,23247000,12373000,0,0,0,4677000,367000,0,16000,1000,338000,347000,1202000,8000,1000,1000,0,0,0,0,1411000,23960000,0,18000,1000,2000,28000,0,602000,0,0,0,52000,1000,1000,0,0,23000,0,0,312000,9000,0,2000,0,315000,0,0,56000,10000,0,0,625000,0,0,36000,0,0,0,19000,0,0,0,0,1668000,0,876000,0,1000,0,0,66000,1000,7000,8269000,0,0,0,0,0,0,0,5000,0,0,2000,0,0,0,0,0,0,0,0,4000,0,3000,0,0,4000,0,0,5000,0,0
"ROU",61000,20550000,3501000,0,220000,5516000,0,34000,0,72379000,905000,14172000,7047000,3801000,28800000,31401000,0,0,3397000,392000,778000,0,2734000,61194000,1961000,19037000,0,14000,104000,5691000,1058000,7000,885000,0,1000,0,34000,3000,0,7273000,0,33000,1835000,8000,16050000,2350000,2165000,0,0,1000,5000,8878000,97000,51000,33000,0,0,3877000,0,4021000,3486000,0,0,4000,0,0,1000,16000,0,0,0,0,0,1000,0,0,0,0,0,0,0,853000,0,0,0,0,0,0,0,2674000,0,10000,0,0,0,0,0,0,0,2160000,12000,0,1000,0,0,51000,3687000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"RWA",5000,2000,0,0,0,1000,0,120000,0,0,0,0,0,16000,0,221000,0,0,0,1000,0,0,0,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,81000,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",1099000,1227000,7015000,224000,127000,2600000,15406000,19000,3453000,37015000,937000,8224000,1801000,902000,9815000,21628000,381000,1310000,14684000,589000,108000,2834000,0,18758000,493000,8876000,1061000,3000,33000,4004000,608000,80000,35000,4568000,0,8368000,0,80000,12570000,773000,588000,28000,6606000,293000,4047000,42000,13000,0,0,0,3000,1588000,17000,0,12000,0,102000,357000,0,2000,106000,0,0,67000,0,0,2000,0,9000,0,50000,0,0,19000,0,0,0,1000,0,0,0,9000,0,107000,0,0,0,0,0,17000,254000,4000,0,0,0,0,20000,1570000,0,0,0,362000,76000,0,0,60000,32000,117000,9000,0,32000,0,185000,0,0,117000,0,0,0,1183000,388000,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631000,0,0,0,0,0,0,0,0
"SLV",6000,751000,1109000,0,2494000,1671000,2324000,0,126000,56843000,2358000,0,287000,1405000,980000,817000,587000,0,0,0,0,0,0,1845000,0,33838000,0,72000,0,2936000,324000,0,0,1457000,0,0,0,0,0,1129000,0,19000,48189000,2000,0,0,0,0,0,0,8000,0,0,0,35000,261000,197000,97000,0,0,0,0,0,0,0,107000,19000,0,4784000,0,0,32000,0,10000,0,0,0,22118000,12250000,0,0,0,0,0,0,468000,0,0,0,0,0,0,0,0,6682000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",0,7000,3000,0,0,1000,0,0,0,85000,0,2075000,1000,6000,412000,55000,0,0,13000,6000,7000,0,0,25988000,39000,0,0,0,0,4000,0,0,5000,0,0,0,0,0,0,0,0,1000,643000,3000,0,2000,0,0,0,0,0,361000,3000,0,1000,0,0,1000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,69000,2807000,0,0,22000,0,48000,0,602000,253000,0,0,0,9341000,3008000,120000,0,0,0,0,0,0,89000,0,278000,0,0,0,84000,0,0,0,0,0,0,0,0,0,401000,0,0,0,0,4562000,0,0,0,1000,0,0,0,829000,0,3041000,0,0,0,0,0,317000,0,0,0,2000,0,0,106000,0,0,0,0,283000,0,0,0,61000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",982000,25000,2385000,0,5000,123000,0,1000,0,4882000,4000,1000,0,2000,14639000,825000,0,0,0,8000,0,0,0,3204000,0,2399000,0,0,0,2918000,0,0,0,0,0,0,8000,0,6e+05,107000,0,0,720000,0,553000,0,340000,5000,10000,3000,0,0,44000,0,9000,0,0,0,4000,143000,0,0,0,0,842000,0,0,24000,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,5000,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0
"TTO",204000,93000,4006000,0,15419000,490000,0,724000,0,5235000,2683000,0,370000,175000,1218000,68358000,59000,0,5000,235000,0,0,0,1016000,0,481000,0,56000,156000,1509000,1385000,241000,1000,0,0,0,52000,851000,0,23990000,0,0,142352000,430000,0,94000,2382000,0,0,0,12000,5000,0,0,0,274000,0,285000,0,0,0,0,0,0,0,2000,487000,0,204000,0,0,0,0,0,0,0,0,438000,648000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,262000,0,102000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",13000,65000,19597000,816000,17000,1819000,2470000,0,1713000,7285000,502000,886000,2331000,202000,34697000,9816000,0,80000,5507000,1411000,255000,441000,0,20820000,0,758000,25000,1000,45000,14743000,187000,111000,176000,1797000,1000,102000,381000,0,1167000,331000,15000,0,4519000,26000,6265000,0,380000,101000,1528000,466000,0,4691000,6000,4e+05,70000,0,0,5173000,85000,4000,3227000,0,0,0,59000,0,2130000,563000,0,0,226000,0,4306000,7000,676000,0,0,0,0,0,67000,0,0,0,0,0,17000,0,0,0,121000,0,5000,0,0,0,0,0,0,0,0,0,50000,23000,0,0,2982000,0,0,203000,3595000,0,378000,0,0,0,0,0,0,493000,0,44000,0,0,0,0,0,0,156000,0,0,0,0,22000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"TUR",583000,10321000,22478000,5352000,976000,9601000,2271000,6000,10939000,79736000,11876000,378000,9555000,3408000,27993000,51066000,30000,10952000,35000,814000,5139000,107000,8200000,43129000,1977000,3719000,21066000,1000,120000,9823000,4162000,134000,66000,9188000,0,288000,18000,106000,18674000,12567000,2394000,6000,82594000,123000,5913000,19000,0,0,1000,0,0,7773000,1000,5000,9000,4000,21000,16915000,0,0,919000,0,0,0,0,0,50000,0,16000,0,203000,0,12000,8000,0,10000,0,12000,17000,0,0,6000,0,0,0,2000,1098000,0,0,718000,419000,0,0,0,0,0,7000,2411000,0,93000,0,0,0,0,0,180000,0,0,0,0,139000,43000,14000,0,0,0,0,0,0,9244000,0,1000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",3944000,1043000,6501000,0,6390000,2781000,0,635000,0,18146000,2962000,459000,1302000,297000,5713000,53317000,11667000,0,16587000,1345000,219000,0,378000,3541000,458000,5401000,0,0,326000,6375000,354000,2199000,1024000,0,0,0,0,440000,0,2837000,0,15000,11067000,6000,541000,180000,3000,0,3000,0,15000,463000,5000,0,139000,8000,0,3000,0,1000,64000,0,0,1943000,1000,0,0,0,0,0,0,0,0,1000,23000,0,0,1000,0,0,0,45000,0,0,0,0,0,0,0,462000,0,0,0,0,0,0,5000,0,0,155000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"UGA",3850000,457000,7448000,0,6291000,2540000,0,884000,0,10102000,1429000,258000,1491000,610000,3636000,24211000,4679000,0,3724000,748000,117000,0,367000,1253000,80000,5461000,0,0,0,709000,97000,1159000,14000,0,0,0,2000,0,0,1067000,0,0,42686000,2000,891000,282000,0,0,0,0,0,0,0,0,5000,0,0,0,0,3000,186000,0,0,247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601000,0,0,0,0,0,0,0,0,0,6289000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",0,1916000,6393000,0,902000,4496000,0,372000,0,18927000,1248000,2000,14907000,115000,15089000,36179000,1151000,0,172000,98000,6000,0,834000,14178000,0,801000,0,1710000,20000,9398000,50000,0,0,0,187000,0,0,23000,0,1590000,0,0,36396000,101000,3868000,5183000,8377000,0,0,0,5848000,6454000,0,0,0,52000,350000,150000,0,329000,0,0,0,0,0,328000,1500000,0,6000,0,0,0,0,133000,12000,0,0,76000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,2489000,0,0,0,4000,0,0,0,0,0,212000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",73000,237000,1124000,0,2000,191000,0,0,0,6742000,55000,57000,663000,0,16591000,6651000,4714000,0,15000,2000,0,0,0,2540000,0,18001000,0,0,3615000,1134000,33000,0,5000,0,0,0,2000,4315000,0,71000,0,160000,2710000,0,0,5000,0,0,12000,1000,0,1000,5000,13000,0,0,20000,5000,0,0,0,0,0,0,7000,0,0,22000,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,165000,0,156000,0,0,0,5000,0,0,1000,0,0,0,0,0,1000,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,2195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",19952000,9495000,63585000,0,25080000,8973000,0,10574000,0,123840000,4397000,4000,16251000,3580000,67148000,584226000,15588000,0,27000,4179000,777000,0,4254000,57845000,69000,133685000,0,268000,229000,18498000,6625000,3515000,39000,0,12000,0,239000,7296000,0,11569000,0,2053000,225124000,617000,0,1170000,1065000,25000,0,311000,392000,3022000,0,474000,43000,505000,3556000,4818000,0,5000,0,0,0,0,20000,170000,1035000,457000,281000,0,0,0,0,180000,143000,0,0,41000,23000,0,0,177000,0,0,0,197000,0,0,0,2405000,0,12000,0,0,119000,0,695000,0,0,0,30000,0,21000,0,0,0,293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,321000,0,0,0,0,0,0,0,0,0
"ZMB",1150000,379000,839000,0,5000,6673000,0,8386000,0,67410000,36000,4000,4348000,4651000,46448000,213801000,171000,0,1880000,5000,244000,0,10382000,28510000,673000,60889000,0,2000,4333000,3832000,0,97000,791000,0,0,0,49000,3429000,0,16590000,0,277000,14368000,0,677000,54000,990000,0,106000,0,0,2582000,339000,0,1099000,0,124000,4419000,0,158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,3772000,0,0,0,252000,0,72000,0,0,0,0,0,0,0,357000,0,0,0,0,0,521000,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",3265000,4435000,2805000,0,3153000,5677000,0,5518000,0,35112000,1243000,1241000,3343000,844000,2873000,83706000,2313000,0,6502000,966000,0,0,0,16666000,0,26494000,0,0,0,5980000,1713000,1178000,0,0,0,0,0,0,0,1959000,0,0,0,48000,0,377000,0,0,0,0,185000,0,14000,130000,0,0,0,0,0,297000,0,0,0,0,0,7000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87000,0,110000,0,0,0,0,37000,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",18000,650000,67000,5000,0,2525000,458000,0,1408000,13700000,162000,3000,22000,55000,628000,11951000,3000,176000,11085000,27000,305000,2000,8000,271000,14000,14000,2813000,0,2000,1000,81000,0,10133000,261000,1000,0,20000,179000,21429000,687000,94000,1000,11956000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",1523000,0,2118000,0,0,69000,0,0,0,443000,17124000,104000,2111000,0,8000,13427000,3100000,0,4856000,141000,0,0,0,22000,1000,17691000,0,0,2477000,1452000,3721000,361000,207000,0,0,0,0,2562000,0,26890000,0,786000,2405000,5000,0,0,0,0,0,0,0,0,0,736000,0,0,1170000,6111000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,12164000,0,0,0,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",77000,4e+05,16000,0,493000,8000,0,0,0,0,0,0,0,0,0,1413000,0,0,0,12000,0,0,0,0,0,7000,0,40000,0,0,0,0,0,0,0,0,0,0,0,19000,0,0,24201000,0,0,0,263000,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,3000,0,0,54000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",248000,0,0,0,194000,0,0,0,0,960000,217000,0,190000,398000,0,12153000,19000,0,0,15000,0,0,0,1246000,0,23000,0,1029000,0,745000,39000,13000,0,0,0,0,0,0,0,0,0,0,1352000,4000,0,0,2000,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,1010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,283000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",55000,0,377000,0,2813000,0,0,0,0,0,0,0,0,0,0,18184000,2000,0,0,1422000,0,0,0,14000,0,3000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,4523000,10000,0,0,0,52000,278000,144000,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,137000,0,0,0,0,0,0,149000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,64000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",12438000,25683000,26122000,0,1468000,7625000,0,10000,0,0,23880000,23816000,6806000,15240000,15895000,33566000,702000,0,23219000,3189000,5293000,0,19000,14113000,2345000,1188000,0,452000,886000,32030000,11848000,587000,3459000,0,0,0,24000,867000,0,24965000,0,0,6535000,1511000,63132000,0,8882000,0,36000,38000,5753000,8416000,995000,151000,3672000,132000,0,319000,0,8634000,163000,0,0,0,0,103000,430000,310000,145000,0,0,0,0,363000,37000,0,0,16000,124000,0,0,2853000,0,0,0,0,0,0,0,2891000,0,289000,0,0,0,0,0,0,0,1007000,8000,0,53000,0,0,1472000,9278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962000,0,0,0,0,138000,0,0,0,0,0,0,16000,0,77000,0,0,0,0,0,0,0
"DJI",0,0,22000,0,0,0,0,0,0,8000,0,1000,0,0,29000,88000,10000,0,0,0,2000,0,0,30000,0,5000,0,0,0,40000,0,0,0,0,0,0,0,0,0,12000,0,0,239000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",96000,457000,798000,0,60000,878000,0,214000,0,6385000,179000,56000,685000,263000,3875000,4047000,17000,0,0,18000,117000,0,865000,8935000,297000,4309000,0,3000,0,1707000,1224000,72000,1000,0,0,0,0,0,0,1076000,0,3000,63550000,6000,2457000,0,0,0,0,0,0,1838000,0,0,5000,0,0,4000,0,3000,89000,0,0,0,0,0,0,1000,2000,0,0,0,0,0,0,0,0,65000,1000,0,0,0,0,0,0,0,0,0,0,2746000,0,0,0,0,0,0,0,0,0,932000,0,0,0,0,0,26000,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",907000,0,0,0,4441000,0,0,0,0,0,0,0,0,0,0,26660000,17000,0,49000,81000,0,0,0,0,0,1226000,0,0,1014000,0,0,2459000,0,0,0,0,0,2000,0,0,0,0,0,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328000,0,0,0,0,0,0,0,0,0
"GIN",0,5532000,394000,0,986000,3095000,0,0,0,4509000,3000,719000,3951000,35000,3304000,2307000,0,0,0,63000,0,0,0,623000,0,75000,0,0,0,615000,8449000,0,0,0,0,0,74000,0,0,1000,0,0,11984000,0,2445000,0,0,0,3000,0,0,5000,172000,0,1000,0,0,25000,0,3000,21000,0,0,0,0,0,0,6578000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,0
"GMB",0,127000,111000,0,0,912000,0,0,0,401000,1000,0,811000,1000,16000,4250000,106000,0,13000,0,0,0,0,2461000,0,44000,0,0,0,464000,428000,0,16000,0,0,0,0,0,0,42000,0,0,628000,0,0,0,0,0,0,0,0,416000,527000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",5000,0,31000,0,0,0,0,75000,0,938000,0,0,0,0,170000,9000,10000,0,0,23000,0,0,0,632000,0,128000,0,0,0,821000,0,0,0,0,0,0,0,0,0,0,0,0,1137000,1000,0,0,0,63000,0,0,0,8000,0,0,1000,0,0,7936000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",0,0,35000,0,0,230000,0,0,0,0,1000,0,0,0,857000,2000,0,0,0,1000,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",246000,30000,534000,0,20856000,1858000,0,0,0,1447000,211000,0,2544000,24000,2175000,26117000,14000,0,0,1304000,0,0,0,756000,0,1129000,0,0,0,188000,5497000,84000,1000,0,0,0,0,0,0,89000,0,0,21405000,280000,118000,0,0,0,947000,0,94000,20000,293000,0,0,0,0,0,0,0,0,0,0,0,0,0,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,0,0,0,0,0,0,0
"KHM",10000,10000,295000,3758000,2000,205000,6507000,0,965000,2292000,8000,48000,742000,0,9301000,677000,8169000,0,3452000,0,0,0,0,792000,56000,7881000,0,15000,1851000,712000,2000,3000,30000,0,0,0,9346000,15176000,1205000,3000,0,2000,2130000,0,1578000,0,0,4000,716000,83000,0,0,7000,73000,33000,0,6966000,0,0,0,0,0,0,0,382000,0,0,503000,0,0,0,0,0,0,143000,395000,0,0,0,0,1000,0,0,0,0,0,0,40000,0,0,0,3000,22000,81000,0,0,0,122000,0,0,0,7000,1000,311000,0,79000,0,0,0,0,292000,2000,10736000,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
