"","BEL","CHN","COL","DEU","DNK","ESP","FIN","FRA","GBR","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PHL","PRT","PRY","USA","ARE","AUS","AUT","BOL","BRA","BRB","CAN","CHE","CHL","CYP","ECU","EGY","GRC","GRL","HUN","IDN","IND","ISL","JPN","KOR","LKA","MEX","MLT","NOR","PAK","PER","POL","SAU","SGP","SWE","THA","TUR","ZWE","ARG","NGA","VEN","HND","MAC","TUN","AFG","BGD","BGR","BHR","BHS","CIV","COD","CRI","CSK","CUB","DJI","DOM","DZA","ETH","FJI","GHA","GLP","GUF","IRN","JAM","JOR","KEN","KWT","LBN","LBY","MAR","MDG","MMR","MOZ","MUS","NER","NPL","OMN","PAN","PNG","PRK","QAT","ROU","RWA","SDN","SEN","SOM","SUN","SYR","TTO","TZA","VNM","YUG","ZAF","ZMB","AGO","ALB","BEN","BMU","CMR","COG","GAB","GIB","GIN","GUY","HTI","IRQ","ISR","KHM","KNA","LBR","MRT","MWI","NIC","SLV","SUR","TGO","URY","ATF","BDI","BFA","BLZ","CAF","FLK","GMB","GNB","GNQ","KIR","LAO","MLI","MNG","NCL","SLE","SYC","TCD","UGA","WSM","SHN","SPM","ABW","TKL","TLS"
"KEN",14900636,586155,0,142539723,4274034,36252058,14708468,52626343,221851304,0,4326707,12020508,46054737,7076120,56830067,925567,2274606,7903916,32198,65954277,3241111,5347454,4093668,10819,19497,86933,9768033,12676183,8998,103602,0,35042290,4887208,0,118257,3604947,4891756,27764,15382823,3428534,1552608,10733,115732,5452219,76049120,0,3691075,16345327,4424038,23933324,8372557,430852,5386270,37902,511152,0,0,0,1349403,0,179430,0,0,0,0,0,5261,0,0,904267,0,253217,6231922,0,0,9801,0,0,143331,287117,0,54680,0,0,308569,754215,0,0,4432501,0,0,1164476,0,0,0,456462,0,0,0,0,0,0,0,5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11359872,0,0,0,0,1294074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769706,0,0,0,0,0,0,0,0
"KWT",3335719,68232,0,4177041,5924,20862257,1482,68481144,47181353,3628,177718,115787,66957987,19779,10381194,0,0,141889,0,35225053,1269196,2748623,0,0,0,0,8240,1192615,74360,14508,17581,41109161,15697697,0,42500,397381,0,0,50421292,34990668,36608,0,7282,63241,32914965,0,41383,3866093,4250388,16020,4961562,269261,0,39595,0,0,0,0,11718,0,5029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220462,0,0,0,0,34280,0,0,0,0,0,0,753568,0,0,0,53987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",11985854,98200,5637,13350176,303267,1941232,46386,28933311,12740903,108945,130158,1461356,27415991,39995,6052702,3063,6027,29426,64977,25514125,11143794,2027279,3392924,24479,0,0,3248644,60974809,78869,11319270,4433,16521082,4496415,0,356425,461105,0,2203,1412829,2030953,53120,59671,196348,206657,502670,0,67573,105562482,911790,1743023,843585,5918959,0,2995,1603007,111586,0,0,3593396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124314,9941,0,0,0,0,0,0,21236565,4471841,0,0,0,0,0,0,520141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",290173520,40761490,2456019,1954964125,8165742,1129796755,0,759008881,191737557,0,235478,1758,4081389598,19717,100503570,0,0,101925975,0,0,1037957,0,74779261,907,20715310,0,746,299797260,11856,542776,0,19012232,486455561,0,65195123,2578937,0,0,1043168,12664192,0,152782,41215174,0,9226810,0,63426,0,216352,26457671,16323425,257387319,1890,5424534,355894,1192241,0,0,28990197,0,0,0,0,0,0,0,0,0,0,0,0,198390,0,0,0,0,0,0,0,1865744,0,0,0,0,127536494,0,0,0,0,0,0,0,0,0,0,0,86522429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",193515669,34608053,22785,523532287,14268904,385757726,21166278,1745755983,150743020,0,2258284,32903817,299571970,2819792,85826773,10023776,37439,35286626,0,147623075,235167,3816836,20682324,160626,21693116,0,55086253,22163421,22150,258200,0,3075014,21598233,214318,3665797,64164864,297833416,476527,270647827,4487316,8928,24005849,158902,33114557,6127729,0,7409433,128554025,15710497,40981848,796260,70600151,571,1202621,9496548,1795966,15711,0,60814919,0,2731425,0,0,0,0,0,17664,0,0,32667,0,48850482,0,46094,0,1646810,425744,0,9075,1126808,5133,219669,0,172674460,0,177282,0,0,1832507,0,0,147776,0,0,0,65486,1929432,0,0,1824793,0,0,0,1637203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92826,0,917840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",4418496,1741616,242515,29678218,1381170,6715712,203797,95582346,11581193,0,1467924,1784,25325484,263660,2534302,28062,0,9597867,1017,43412776,430249,221745,5075165,0,0,3855,1646369,4450471,53044,832,0,54037,686822,0,1237504,10051,1178011,3091,33539877,281961,27729,0,19066,1806533,1013322,17343,58846,1261886,16587773,3719381,5735915,104170,237490,68312,343478,20594,0,0,351967,0,0,0,0,0,0,0,0,0,0,5253,0,348311,0,9321,0,399369,142643,0,0,21001,0,0,0,0,705384,0,0,0,6742634,0,0,42851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4441,0,0,0,0,0,0,0,0
"MMR",1657864,96045454,11441,7112438,2650983,875528,186360,2844141,4358278,0,33412101,2509,8560346,15443397,1798880,166698,813493,416810,262138,26061586,9005,2475940,521315,77215,0,0,1247344,213048,7572,7296,0,1861417,128364,1251,694260,1730625,0,29933,44349460,4347226,134036,0,0,268424,5009792,6469783,46046,1585576,79852724,1162663,170420494,4826955,0,5788,129664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6553,0,0,7384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",501473,42189115,0,4099364,1398894,40295295,571307,5114854,3763058,0,81546404,1860607,4098135,5294308,654591,0,12120488,15093794,0,21660878,26323,670988,233719,2553,0,0,9815659,215467,1879,1179402,171542,0,22273,0,0,1106584,0,74645,19955614,1929089,3523,1973312,32569,556855,0,0,2235053,252208,67479099,1964044,7807096,0,4686122,19209,64308,0,0,0,36797,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,12829,0,11333,3023,0,0,0,0,0,0,0,233292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",18848601,7612,0,122706819,2178933,18095397,353376,221019455,394720301,0,4864603,3063739,54886822,538757,20151376,217548,0,10426519,0,127995486,6539,3066657,2889550,0,0,0,3509088,9672614,0,45990,0,18451,463794,14230,43106,0,208779,56453,2810116,118756,0,6994,24369,1427419,1207148,0,0,0,10037214,3587357,24182,0,6303852,20132,1367,0,0,51658,44693,0,0,0,0,0,0,0,0,0,0,4092,0,0,0,1376,0,99203,10774,0,119466,0,696366,0,0,0,0,616634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40625,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835591,0,0,0,0,0,0,0,0
"NER",44372,120471,0,411136,111953,319578,0,196718561,602721,0,0,8547,2014887,352293,353187,13116,0,1063909,0,4775619,61363,0,285709,0,0,0,8953535,216790,1590,52461,0,106582,20518,0,19262,40557,0,0,232118,576873,0,7509,0,0,34699,0,146317,0,0,121139,139335,50981,81720,9718,4367436,0,0,473,24511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764,0,4491,0,0,0,0,0,0,0,21251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPL",5484304,1263285,0,115092693,262573,1505719,219088,5062216,6969613,0,1426228,13860,5388850,106195,1663997,75919,0,1187,0,59850414,145274,323228,5189235,0,0,0,1641184,13658876,5644,10761,0,60331,18157,0,2335,0,10585010,475,1547595,930686,4773459,250436,0,216334,3993995,0,0,0,3376163,1845042,111210,0,33868,64836,0,0,0,0,22655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",1467892,364083833,0,6872790,391368,528813,70453811,16255040,65672294,0,20013742,62281,2971964,2624542,2157852,2802755,51857,236356,0,117670388,5302207,22243441,45953,0,0,957,2508611,110521,5440265,847089,0,30165,1261311,0,0,9333,9225942,0,1965745358,1084468510,15272217,0,26378,46986,22999434,0,73392,23630997,385712929,105130,145962085,608908,1675,10079,21815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240,539,0,0,653,0,496847,0,21754,0,0,0,0,0,0,0,0,0,0,0,2938359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",22421976,411641,22531750,194997806,3061403,50328987,19622342,7422088,2592584,12081145,8845316,538392,91695087,19887429,22384639,2911340,29194,7260679,22065196,260195798,766,1296169,13285704,8909318,1566,132686,11046868,84581024,3606276,16434,10055796,9589,61268464,0,952134,366601,0,1958183,88540406,14689104,47202,84664259,403275,161466871,120065,28511626,5652425,2662150,52837228,46893128,4662871,6510194,5835,2774415,228520,116952704,12411416,0,57490,0,0,0,0,0,0,0,29786534,0,0,0,0,0,0,0,0,28512,4693,0,6676505,0,0,0,0,0,364507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61766,0,0,19210477,0,0,0,0,0,1792273,6642271,2111,0,20972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",4685880,8931825,13505,147286082,822287,1015464,25460033,4790565,50930071,0,9018605,341648,962526,4768902,13549199,4097690,65893097,265242,0,33814058,40578,587251308,685589,0,0,3939,106605,1533596,862654,0,0,0,71570,0,128165,1109177,1841652,0,336966556,130935153,254343,184190,0,3980,299267,0,0,0,11697925,766443,848718,0,0,0,0,0,105944,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043811,0,42683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",5707989,78025889,1561383,64218551,1221335,11534137,239049,11093680,476178,187328,41880186,2961463,2001336,5675604,1702516,0,2841550,7226,0,9462,6620,275324,1266510,1312203,0,19094,509,929281,9135,2016080,0,83574,1229143,1841,1926944,22429156,0,0,257174035,0,62527,314238149,0,548326,145736,1212852,1828789,4562727,9936856,2019850,14825071,1036375,1409633,1000135,1487708,42341,156691,0,1300657,0,0,0,0,0,0,0,26537,0,0,0,0,0,0,211360,0,36132,28186,0,1073910,0,0,0,0,1859776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",68297,71434674,0,13312823,85584,44063,0,25072524,7828760,0,740156,20750,27459766,3522969,1098611,208789,85703375,132592,0,28776709,7041607,1396648,0,0,0,0,2854287,36356980,11793,4656,0,9219925,979951,0,0,6542514,23981912,0,1956852659,170600844,2055793,493941,0,0,14856458,0,0,51094303,85115902,0,20717684,1691483,1317236,119317,104182,0,0,0,1373,0,291278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5494,0,0,18790,1279719,0,0,0,0,0,0,12476347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",45836740,178740737,14225384,660461428,4905505,90068135,7216026,287508037,85987488,211898,1071359,5163892,309257857,7940053,62877141,513256,17436335,3837556,192843,69205902,773625,5023514,58250506,20759,14857207,15511,19174689,11184879,1520817,13204668,323631,58165037,83855688,18530,61574808,11051484,9173012,339955,84885290,9348113,16295783,1280002,16690,7854659,23253230,337775,6354356,21361695,25698528,27117214,31443704,180976049,262978,3668466,2711816,3242567,0,0,11615263,0,0,0,0,0,0,0,56505,0,0,0,0,1640396,0,604762,0,518323,184127,0,11111,14672666,1282978,0,0,5635516,12662691,0,0,0,0,0,1141000,610645,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25297062,0,0,0,0,0,0,457,0,0,152790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RWA",12823390,0,0,32663647,1314310,3784517,252027,2078334,3464025,0,1746,1731124,2690517,1390384,23621593,0,0,123233,0,6831035,267539,611,160831,0,0,0,306817,48576,0,0,0,0,52244,0,0,0,0,0,623691,0,0,0,0,1068,9186478,0,4895,0,0,16871,0,0,0,0,31437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",2183901,7005872,148239,30495559,1682474,2935105,1113885,18333200,9534505,0,601456,1742043,33001237,69733,2935619,0,13000,1398971,0,14808603,658293,160517,1481439,0,0,468,2042129,955431,2432,772827,22007,2923528,6675236,0,250760,39896,0,33743,27299201,8331387,111505,301754,42980,1057842,77711,0,121448,31732903,2160391,1494967,77326481,3277488,806,163401,0,59692,0,0,1360007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457,0,0,0,0,0,0,0,0,0,4203353,12709,0,0,0,0,0,0,8354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",15115497,3556290,527530,15904444,55517,26492674,5909,212544244,7831020,0,3393534,5018903,92664983,19416,9396893,0,10036434,7261448,0,10276977,3746,0,616513,0,0,0,3149273,3945532,4956,152849,478426,48431,10334511,0,11546,802419,76824196,0,11766937,1380254,0,6195,95169,25595,0,0,27344,0,0,151125,6885575,371163,302971,0,1095440,0,0,0,2443232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10605,0,130755,20746,0,0,0,0,0,0,0,40502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758867,0,553032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",505425,622076,0,347229,0,34725,92946,966492,66925,0,19186,0,12475321,25574,127426,0,0,0,0,2527161,17182548,2233,258469,0,0,0,715,844895,0,0,0,630743,2129785,0,38126,47092,0,1087,33857,9921,17995,40273,0,0,247283,0,0,25543216,52272,43371,0,544690,889,1363,0,0,0,0,6217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21766,0,2050,0,0,0,0,0,0,0,4724,0,0,0,0,0,0,0,267961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUN",1155616088,1861876047,13087293,7540988714,218217184,675257156,1694202119,2715074173,1185230485,210896,48903547,74138040,4150705516,68344608,981119461,1928087,33866248,56328374,3360266,810724243,1569886,21343943,735264788,4115223,0,38919,184056161,493274318,34540483,113632321,6747280,114458552,360413182,251475,1584503366,41655587,0,51136796,3006461829,519200775,3282056,14205030,30566288,328566051,77757056,7911816,1680686102,55626671,174684036,515682834,226014468,980519648,661846,22739254,13807962,15511613,290521,3729315,63246784,0,0,0,0,0,0,0,1275617,0,0,0,0,0,0,176841,0,371503,266194,0,836405,0,0,0,0,5790114,131891070,0,0,0,0,0,0,2674253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43128971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYR",2738489,3402860,506252,661337333,222046,41149346,10678,490847354,67302316,0,50355,171443,207527798,45279,15584094,0,1006,6883113,0,24488872,205621,74889,33719719,16348,0,0,10924675,720248,46886,24823472,0,10115715,24906495,0,2653900,72784,0,0,3495857,192088,9922740,90210,3877,168906,73681,156699,317966,231544687,18703630,2783704,42041,61228163,0,225560,138195,190198,0,502,22268731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,7701,0,0,179328,0,0,0,0,21716004,10493001,0,0,0,0,0,0,153301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTO",21827798,3810679,84225814,12639537,2493790,18839897,0,32167556,65741874,3792978,297119,1577017,33473300,1010,3509652,106394,0,115013,0,843823761,7467,470920,687049,0,37086403,66096319,32149244,1367168,5686539,0,9665623,0,65832,0,142446,179553,3479227,0,31874895,5519038,0,12226177,34816,6975,0,2246300,0,0,3981479,3445480,23564,43871,34640,4270244,3960,52533905,81508,0,0,0,0,0,0,0,0,0,3209561,0,0,0,0,0,0,1469,0,7170643,53638987,0,39514731,0,0,0,0,0,11848545,0,0,0,0,0,0,0,3290699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18903926,0,0,90838,0,0,0,0,0,0,27898,37793482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",22596927,309809,0,66731938,3855482,2360563,3214492,10483445,32601717,7443,9422858,764771,12834772,3639352,20421482,801720,5321941,18788128,0,14279265,823259,502888,2077107,11861,0,14921,1138693,3736009,7315,24490,0,1291298,1457838,0,364674,2868983,0,567,20264919,1044047,98897,115467,3090,782681,15901265,0,0,1918797,13296555,961096,3140234,408625,2531393,0,16446,0,0,13387,49012,0,0,0,0,0,0,0,5909,0,0,0,0,0,0,0,0,14242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",14180160,9853273,0,89073789,1838250,6815449,282796,43067486,9928591,0,156937752,749511,9188106,56173557,15860068,414790,42142455,518618,0,0,609560,21073451,10921619,12147,0,0,10110134,6517317,35564,39328,0,770502,147534,0,5635402,78524207,0,1099,600408018,36862977,25198536,8414157,18276,2356199,654900,5481520,1079409,72135,0,3074652,106180482,0,0,214748,18220,0,0,7851,283917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,0,144039,7893,0,0,0,0,0,0,2178626,539120,0,0,0,0,0,0,30455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YUG",158866298,64945545,7477570,4246106969,57022788,135605255,30157373,748828846,222078881,8326,6375919,20936811,2365454076,9378522,249890621,2149459,7406787,16979343,40522,649835117,6703550,34533263,445654912,72942,0,85474,55842001,113507749,2708875,14149955,4415882,129466386,206634117,134441,116583893,19291826,0,2019374,65038578,22140478,1952135,5308976,4996911,102720805,19735308,240591,52036809,29133773,45499212,128306187,28176566,134462758,1100996,1881229,6643610,1849165,107017,15959,19286029,0,0,0,0,0,0,0,287705,0,0,0,0,0,0,6842,0,1598988,884720,0,33491,0,0,0,0,41494335,18431141,0,0,0,0,0,0,2010456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14264315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",630476822,5836845,24152854,1804520508,2413891,422063592,10152914,660267403,1578329476,3936307,587171955,20557444,2307806480,6936812,211522846,14162283,5111966,151167342,6803919,1711078029,1045514,67025158,146124819,1715255,0,0,126077581,430993187,56463681,471976,23875464,1380135,66880218,107940,5089088,0,0,402259,1657112518,14913250,78573107,3347987,1138596,119143380,227461,9087550,7763259,32502145,11468320,4683911,41810711,190707540,529627594,49776056,6787412,23975063,214199,4429413,426908,0,0,0,0,0,0,0,376544,0,0,0,0,0,0,220699,0,876925,146696,0,21875,0,0,0,0,0,4636470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214133716,0,0,0,0,0,0,258833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMB",69219415,4757166,0,16747512,207909,205525,99319,128955033,34638791,0,4235549,1798870,50586411,68684021,4219523,242771,76054,2719075,0,39182963,1845,1307520,217766,0,0,0,3617,11874718,8734,0,0,0,1990034,0,0,16887833,0,4890,304091908,7104461,4368,69015,463,27000,5729712,0,0,57103651,80853213,1611466,98770166,0,10360978,53051,71845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,692632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",103478980,52648,0,174488162,12075,41451570,0,317132526,103968695,0,10213,0,43761628,64716,131030105,0,0,91093802,0,1746422449,0,0,5112858,0,119065165,0,33567726,221225,21580084,0,0,0,192600,0,26025620,2362,0,0,2890583,0,0,1436554,2010301,3425,0,18613,0,0,0,46601,0,0,4653,23461,36196,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",3932588,2792518,0,19539553,74807,2854022,905289,3650124,425840,0,0,7488,27603981,1011,269326,2846,0,175588,0,3188141,0,4514,4877205,362752,0,0,9460,1811375,16593,0,4630,3239414,10949811,0,3648325,0,0,0,7482503,44106383,22549,196354,0,163057,198105,0,454818,0,0,2043519,9891,542175,0,11971,0,0,4469,4937,7280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",6818838,503782,90551,1376570,0,341025,0,6053106,1387877,0,713062,169570,10757431,240562,195438,0,349047,14580395,0,22648896,0,0,399990,0,0,0,0,1587957,0,0,0,2398,0,0,0,2291254,0,0,432829,1584,66566,76551,0,0,116850,15562,0,0,0,1381840,5706828,0,0,4481,1859616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,0,0,0,0,14583479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",13125,336724,47583,273005,1021,442653,0,290343,5221280,0,61697,1834,9046861,600,1594148,324485,0,151588,0,8400018,0,1215130,44263,7022,0,43701,4868251,524034417,0,0,0,0,0,0,0,0,0,46719,8242224,3978,0,1794889,0,40007,653680,299711,350991,0,35082543,586659,12132,92881,0,225929,0,480072,43659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
