"","BRB","CHN","DEU","DNK","ESP","FRA","GBR","GLP","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PRT","USA","ARG","AUS","AUT","BEL","BRA","CAN","CHE","CYP","EGY","FIN","GRC","GRL","IDN","IND","ISL","JPN","KOR","LBY","LKA","MEX","MLT","NOR","SAU","SGP","SWE","THA","TUR","URY","YUG","CHL","COL","JAM","PHL","TGO","BOL","CRI","DZA","ECU","FJI","GUF","SLV","TUN","VEN","JOR","KWT","MAR","OMN","PAK","PER","PNG","QAT","AFG","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","CAF","CIV","CMR","COD","COG","CSK","CUB","DDR","DOM","ETH","GAB","GHA","GIB","GIN","GNQ","GUY","HND","HTI","HUN","IRN","IRQ","ISR","KEN","KHM","KNA","LAO","LBN","LBR","MAC","MDG","MLI","MMR","MNG","MOZ","MRT","MUS","NCL","NGA","NIC","PAN","POL","PRK","PRY","ROU","RWA","SDN","SEN","SOM","SUN","SUR","SYR","TTO","TZA","VNM","YMD","ZAF","ZWE","ATF","BDI","DJI","FLK","GMB","KIR","MWI","NER","NPL","SLE","SYC","TCD","UGA","WSM","ZMB","GNB","SHN","SPM","ABW","TKL","TLS"
"CIV",0,5606735,269432821,13550244,152242706,500504272,98262888,369066,0,1101707,23370373,291928018,7222946,246601426,0,32925578,203229409,322557,919367,17999789,146071201,0,16591008,16766347,1780110,174449,5029302,72653555,0,13789485,0,50202,38783954,11059517,15158,0,328766,3174441,462120,5580370,1454042,6514164,28800044,5454903,69900,0,11214,47680,65261,521546,0,0,3395,2781785,0,0,117327,0,11472736,0,0,0,16281170,29430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,37734816,133055449,3117543,286831794,700314252,12705911,20053,0,950062,457677,186687262,80364,185143050,53548,33551787,154694488,1127,966383,7612089,51995765,11287748,1660325,7360604,0,1050261,634987,7847556,883,263494,0,9251,8837792,24265168,0,0,148640,0,21503,131884,501085,687426,657828,4305412,17806,1027973,0,0,0,0,259904,2650,2200,7842719,34512,1448,0,0,3024603,0,0,0,21605214,0,0,6421916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,0,0,3382032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,8953113,192522147,843400,24160283,59039592,11719795,47273,0,181131,79881,148839225,3171241,17206978,0,13101970,303107672,258273,410973,7594925,772857395,0,7468739,2622578,1164,9558618,1364030,3124029,0,0,0,0,51292992,5388263,1104256,598391,109327,0,1689,85222,0,1778143,3022892,5458103,0,2535663,12047,30152,1267,19630,0,0,0,171422,0,0,0,0,1203647,0,0,0,1941401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,129319,22330091,2846604,88307019,148625349,4069463,0,0,283565,0,274643385,900,11277169,0,38825740,405190650,441825,15823,150669,108945980,0,0,3097637,0,253378,31009,5048378,0,28488,0,0,2425104,140999,0,0,7137,0,5007613,0,0,1481760,304150,4377250,0,1217249,0,0,6724,607495,0,0,0,4353079,0,0,0,0,330940,0,0,0,7016921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSK",194532,249115670,1553538253,76536344,79797623,317790614,220446670,572863,706453,9633851,20845612,405165423,7015479,196554544,3425194,16620541,85398779,7069017,28013168,509728099,112979868,15146454,54319640,107997109,23294386,84251486,129809691,102215195,239758,23271021,22552038,5272318,119008987,0,4263733,1302677,16460196,9476036,50429598,37262705,25576756,111908063,70156392,131109661,1479278,474296034,4507274,4895942,474194,6901292,0,1218269,2503462,61219792,4358583,440617,241388,91495,27968332,1975431,1014355,38355,11983848,435873,3791059,3679003,140175,0,0,0,0,0,0,0,1401996,0,0,0,0,0,0,0,27832,0,0,0,0,0,0,0,0,0,0,0,0,0,195747,0,0,0,0,10741997,210123,0,0,0,0,0,5951,0,6237,0,0,0,0,0,0,0,24241,65962,13756313,0,850691,39974477,0,0,21895,0,0,0,2318237,16790,0,0,0,0,457231,0,0,0,0,0,0,0,0,13430,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",203045,278802352,23213168,623395,72382185,46844076,48388186,734427,0,175793,215199,45876334,3874,20091638,3464,17375999,71621,716662,746690,2414514,2016533,0,101558403,9705621,167255,51007380,16733154,523489,3192,52304,0,1586,87140362,0,51530290,3327841,48768057,111283,57432,830014,0,22470442,22923,5173429,75058,2836677,0,370989,502,0,0,241665,360717,63921424,204908,0,174388,0,14840777,7797985,0,0,283410,11759,0,5095265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",150327,228627571,0,108599249,78308806,366495509,209417106,1065773,946653,0,7303579,162059160,6385323,209542859,800216,20295211,85106687,3689196,0,0,145629542,0,0,69088866,3585686,36437190,92007500,39509669,87158,11921395,0,185689881,52154553,0,1601946,0,19871295,708267,73016215,10485180,9342469,176895621,74020918,23236100,2230658,202708768,9654940,19920213,1193030,5777888,0,465895,275436,50977699,4976247,383748,126604,71091,13777876,84200,0,0,26975673,1512921,0,134693,19288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",747957,0,26231862,507883,36248049,17354397,28094305,2400401,221226,172093,703498,15983788,836,4414475,11623,1085622,1653202739,3055,252803,235024,17086001,0,30503103,1168615,0,0,18439668,182720,0,0,0,507,14732610,219440,0,0,257176,27879,43261,25075,0,3198929,2807,23554,11049,10694,32010,485374,1296731,15406,0,0,518263,0,63662,0,21486,90690,0,1089062,0,0,4710659,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,52216777,198606,1622911,19043149,30414525,311677,0,7147,492723,29895569,157757,8417318,11934,225888,37860726,6951,233240,1259919,4405423,0,4432791,3342915,0,28750,5982604,912090,0,1682770,0,5184,45144720,1454614,3682,0,425775,12948,31113,7762803,209507,269059,12062,2009095,0,1530473,26775,0,12603,0,0,0,0,0,0,11872,3721,0,58459,15477,0,0,7902,0,0,0,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331462,4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14322563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,17341113,49349557,230474,30916574,832260971,2843734,1048653,0,429797,58294,38074650,98602,141727577,0,16045479,741974695,0,0,313787,11403369,0,81293,1119698,557367,2353,0,13818099,0,1518610,0,6032,100093737,19981658,0,0,1096813,3327,38950367,0,15716926,540127,143242,13712007,0,4920904,187158279,7812,0,0,0,0,0,19368855,0,0,185457,0,1270607,0,0,0,45979631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29180872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",26183,2182800,386583953,4312483,26061642,44158074,169513804,0,0,360622,33181465,26968606,205843,58620649,398597,1163633,161584969,0,120434,4946432,21961787,0,4082352,17200271,0,214219,1612766,1565932,0,582794,0,3964,64819391,4720162,556436,21078617,267295,1868672,7364666,918170,5116564,1094392,2484028,951480,9656,5749946,0,38766,0,121501,0,0,0,0,0,0,0,0,208378,0,0,0,1344540,7388,0,13916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",15250,272325,14745365,290822,2939491,409853,7787172,0,0,5962267,53106,8007521,8763,3440998,63692,638335,470197,84962,81044,475,109515,0,0,244414,2948,83237,3703,51392,0,0,0,0,0,0,0,7916,30941,484,0,39426,5088,2615830,0,0,0,215411,0,0,22113,0,0,33236,17125,0,0,0,0,5363,449353,0,0,0,9434,0,0,0,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,0,39312759,33859,69739747,52818883,18670125,0,0,155766,70159498,30365241,21862,2115044,0,1069641,152573909,0,0,496146,66586571,0,10998830,731826,0,161673,6275,0,0,567,0,634,6586731,560415,272127,57526,0,0,25625965,0,0,14983,0,200767,0,13584386,0,148113,0,0,0,9974,0,0,0,0,0,0,23233,0,0,0,101312,0,0,8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,3112081,2909,20720420,3384980,15796,0,0,0,0,8161237,0,4213645,0,189355,0,0,0,25482,748777,0,0,29250,0,0,0,1708588,0,0,0,0,12241,0,0,0,11573,0,0,0,0,15850,0,120322,0,225569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",3081456,537,7997522,26428,3773468,5697199,87085946,72515,0,16473,84024,4668474,20340,13366522,506833,12086,55544804,0,638931,4021,3024724,0,19243294,75739,0,0,260785,0,0,786,0,0,16020580,1943111,0,0,288799,0,103965,0,0,614702,0,0,0,669040,543689,73412,4848089,0,0,0,0,0,470645,0,1982,0,0,10964480,0,0,386590,0,0,259025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",2103300,0,82728706,4037246,22848661,10518727,18537424,4579210,8678918,422713,1457636,26598961,4605,8630674,69473,1964403,506209236,2685,3655609,14508151,18498451,0,10103444,14869765,280468,0,11432807,1398287,0,79989,0,99795,76908314,11613644,0,0,2245073,202189,4587860,4181248,2131751,25961895,330685,247965,0,6291349,1548,1006436,141295,914,0,30579,5502482,1521946,8078,0,479,10228041,2485,530448,35844,0,415126,5493,0,9730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3099323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484875,256355,0,0,0,0,0,0,0,0,0,0,0,48171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",110496,0,5286293,163574,954372,9172685,2024274,160365,76143,108277,52088,16977183,0,344811,0,86552,321863976,19914,248108,216799,3090413,5644,11394452,1521619,0,0,95826,7763,0,0,0,0,2750209,89745,0,0,653977,0,32502,0,0,493043,0,0,0,0,2080,0,21531,0,0,0,205540,0,35122,0,13641,53891,0,3914,0,0,149915,0,0,25586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",81913,108130071,1852257156,48009474,64059628,373170510,166111606,267214,190723,14110483,8446717,622520575,4398636,156341266,1629066,3563443,341161179,4407317,18450469,705857047,113240341,0,34873879,141908949,14633529,54085421,93811147,55518360,308399,16257318,0,794364,133656505,0,9469053,3664749,4207973,3003491,25269212,37353701,8809691,137152408,40400234,100543407,1641793,0,4148419,3953606,287372,3010345,0,12414,174787,46921489,845710,8260,119970,1071,15666573,1340379,0,0,19125056,607583,0,1029799,13176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22722239,0,0,0,0,0,0,414156,0,0,0,0,0,0,0,0,0,0,0,0,0,69100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",5322,39902187,727690520,7650555,823599079,1321930128,457462819,35935,37099,11105810,311592,1424209859,31799774,943835375,1052825,126457499,6405019,211078,6906926,102283198,914451947,0,16105385,43562770,2333553,156205,53192947,350564071,13324,562397462,0,38557,3074332871,0,2507788,204803280,6776594,134935,4440670,159322,425226525,179632138,95410354,459239815,51857058,219895773,159144,118850,4876,117874702,0,0,0,390193,1289689,136194,814,0,9116524,436075,0,0,12705859,48897,0,74384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",627,72142593,50509318,451512,422433733,380234553,165957473,800,0,173691,38227,319404666,9794764,774114775,0,118435381,3002107555,46577,132674,636557,178394574,0,88738433,95856,44903979,6513660,2652,73995936,0,163472283,0,0,873666507,0,0,3000506,1125,0,0,17969188,35642758,163408,55155367,975943503,18119,233123708,0,0,0,51167607,0,27845,4605,0,11300,6047,0,0,47586389,249290,0,0,175519586,64567,0,11015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",236341,0,859725233,49531250,178775570,626521948,814732706,638055,2658714,450260767,39356481,458244109,1878,415372176,21947468,33889612,3125215586,12827959,93103301,70100353,762743058,78513843,101333100,244648335,31024218,40788862,43831774,83392588,62134,0,96371011,871976,810932922,600502357,0,7113881,19540400,109767,52738573,0,86922047,75134241,123662032,60965440,7575864,36501702,24770614,84804579,1481807,89415940,414053,1470028,4153533,0,16491310,516504,53485,331443,0,34605047,0,0,0,0,0,36469321,390263,0,0,0,0,0,0,0,0,8513139,0,63024,0,73756,352144,2092222,2343405,2272250,53564,8732784,0,450385,1592681,1897760,263574,1059223,215632,34221,206913,0,1339381,2014347,21128389,0,0,0,14450297,0,0,22001,0,399420,127907,0,0,1088107,0,0,0,845129,0,22667924,1044896,2319382,11506223,0,2173082,18505362,0,0,7485,0,4790385,27884,0,439115,364668,0,0,97243905,0,0,0,0,0,0,0,253572,2898982,54521,2052,0,0,0,0,1443360,0,0,0,0,0,0
"KEN",120067,992989,127469031,3586122,22161183,47038591,237356927,15175,0,2093503,13933354,52263326,7618308,47960965,1568889,6416461,56425857,0,3912410,3223477,17812976,19495,10401681,13651263,77350,20688244,11936693,5238711,0,2976610,6059883,13359,18635768,3131215,0,2887534,16144,160542,3637094,11910038,7232505,21553866,8841365,498222,0,3104493,99553,0,78790,4145749,90641,132069,0,479824,0,0,17807,0,522348,0,698623,0,591738,2803326,59064721,0,0,27917,0,0,0,0,0,0,145981,0,0,0,0,0,0,0,3951,0,0,0,0,0,0,5417161,0,0,0,0,0,0,0,0,0,0,0,7837443,0,0,0,0,0,0,0,88355,0,0,0,0,0,2834136,0,0,0,0,657800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5691202,0,0,476088,0,0,0,780419,0,0,0,836380,0,0,0,0,0,0,0,0,0,0
"KHM",0,158092,712694,24240,88921,820602,89273,0,0,330589,3598,31063,14661023,15152,1122,12942,65305,606,602,23867,4502,0,0,2297,0,40619,0,32003,0,695427,0,0,3048847,0,2990,14454,104761,0,0,0,0,120055,10520337,0,0,286198,12016,0,0,0,0,0,0,0,4271,0,0,0,0,9918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",116703,0,41421,0,7323,3580,7281787,409162,0,103734,0,0,0,0,0,0,14742923,0,0,1485,0,0,26569,67164,0,0,37705,0,0,0,0,0,39996,0,0,0,0,0,0,0,0,22891,0,0,0,0,0,0,36002,0,0,0,0,0,0,0,0,0,0,32671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,5592775,1711979,280777,7852,2417549,87325,886,0,0,24730,311294,135857,220114,0,0,356548,0,35716,387291,196749,0,836234,39977,0,2930,61055,40890,0,7052,0,0,4141736,0,0,0,0,0,715274,0,0,182904,40747537,55367,0,0,1541,0,0,32218,0,0,4185,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",979,32418,9984315,229818,3879370,24256496,9420164,14057,0,82459,407327,44104576,86226,2649593,4768,26287,22292781,1489,1987527,385311,9122136,0,2393508,51088129,8880444,13235043,13336,2465263,0,115892,0,1632,4117999,3368749,17994248,21478,14336,0,63850,79253248,50565,1674831,1779,5709378,3929,313657,321970,15584,0,853661,0,0,0,2307880,50964,29036,5781,0,2748729,66661,0,0,3345697,315834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,2901656,119838687,76690738,22666309,69831555,14516164,0,0,93458,581291,128332798,3320641,15154260,0,14672602,47169223,10344,90653,124779,345606379,0,2811629,647220,0,0,3832,8300286,0,0,0,0,166175,211295161,0,29166,2827018,147581,823607254,36697,10428763,718884,91649,27998054,0,2906493,0,42972,0,0,0,18453,7353,0,10138,0,0,0,118071,18202,0,0,964767,0,0,6645,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",1131,147369785,200815877,18212957,14722662,155554060,71795064,203549,7090,246546316,6107041,30814646,1244184,29798877,1712792,8412014,701384908,150851,27742726,14618588,5711507,1534,25344984,15081544,78839,0,14542037,1055933,61315,0,0,841817,79429238,586533,0,0,169128,84222,3985993,1028686,5754498,20297857,342899,15849,5762,842321,0,0,9181,4107001,0,0,9827,0,30368,0,33222,0,0,0,0,0,0,0,0,0,0,32293,0,0,0,0,0,0,61851,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",1948,7520940,30589146,1111181,12112212,93560395,9485804,499938,0,1236730,1351,13769734,184925,2568337,30011,7241046,38777948,32907,220999,3784346,5674775,22632,1482969,2390506,5612,0,129173,1050299,0,5094,939832,2459,28462010,173512,1240803,0,0,29367,132339,73104,25473880,1789981,803713,44980,0,450650940,43879,0,0,0,0,0,0,20723,1178,5208,28397,0,283376,8396,0,0,765551,17766,185683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4616,0,0,0,0,0,0,0,48933,0,0,0,0,5571888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,5897,0,0,0,0,0,0,0,0,0,0
"MLI",0,14101083,12412112,9743,5366198,20592007,2920932,0,0,0,4469854,8178877,2125957,4168800,1057,10253171,2527609,5595,290555,163368,25608382,0,10260208,2122004,0,0,23390,22745,0,2512123,0,9393,3090902,9412594,0,0,304081,0,476,0,0,602503,6844952,34785,0,65422,0,5125,0,0,0,0,0,0,0,81377,0,0,3996835,0,0,0,10067114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,93967222,9223365,4783173,933119,6023877,5944634,0,0,26438744,20958,7972539,15788497,2158694,183025,0,21498845,0,2899199,569567,1825260,0,1226100,1125904,0,9021,865850,68171,0,1332488,0,36210,37095547,2767496,0,6258927,0,0,305827,250801,58696006,2078530,119735683,363344,0,500916,4249,45354,0,1568657,0,12908,0,0,0,0,0,0,0,0,0,0,0,1812970,0,138664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,10258102,2169941,0,13778,2218651,2720175,0,0,23440,0,8098889,18086,668198,1967,83220,1910404,0,509,181361,51090,0,0,466316,0,0,1868918,0,0,0,0,0,16435763,0,0,0,318752,0,3443,67949,0,0,10541,17488,0,2613347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",0,53732574,6200900,1023414,18391374,11108976,17156427,3110,0,80932351,870177,4053122,1704502,4911982,0,13959514,27783688,0,952948,459496,963953,0,2152184,27361,307775,0,699452,2160987,0,2156998,0,87404,15024790,0,0,0,177821,717,953697,544456,58069293,5600836,3995622,41794,0,237142,0,0,0,20617129,0,0,0,0,0,2460,1891,0,16089,10766,0,0,2503185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,12920,3721887,56687,40674709,61010579,22837875,0,0,0,11873,76285946,662,881840,0,3204629,23123008,0,0,31982,61941405,0,426,19046,76835,201057,7583,6921549,0,98737,0,10044,106067756,76411,0,0,0,0,720,341445,0,74354,286029,15611,0,0,14539,0,0,0,0,0,0,30525,0,7999,0,0,365943,0,0,0,275236,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
